harmonized_id	symbol	biotype	n_datasets_hvg	why_unmapped
ENSMUSG00000046259	Sprr2h	protein_coding	20	no ortholog in the table
ENSMUSG00000051182	Or52ac1	protein_coding	20	no ortholog in the table
ENSMUSG00000120335	A630066F11Rik	lncRNA	20	no ortholog in the table
ENSMUSG00000110673	Gm45833	lncRNA	20	no ortholog in the table
ENSMUSG00000026700	Tnfsf4	protein_coding	20	no ortholog in the table
ENSMUSG00000140879	Gm26710	lncRNA	20	no ortholog in the table
ENSMUSG00000115946	Mirt2	lncRNA	20	no ortholog in the table
ENSMUSG00000085112	Parail	lncRNA	20	no ortholog in the table
MGI:2447819	2610524H06Rik	protein_coding	20	no Ensembl id (MGI/HGNC accession): not in the ortholog table
ENSMUSG00000027446	Cstdc2	protein_coding	20	no ortholog in the table
ENSMUSG00000095362	Gm14325	protein_coding	20	no ortholog in the table
ENSMUSG00000100182	1810006J02Rik	lncRNA	19	no ortholog in the table
ENSMUSG00000050463	Krt78	protein_coding	19	no ortholog in the table
ENSMUSG00000085084	4930570G19Rik	lncRNA	19	no ortholog in the table
ENSMUSG00000041789	2700046A07Rik	lncRNA	19	no ortholog in the table
ENSMUSG00000020496	Rnf187	protein_coding	19	no ortholog in the table
ENSMUSG00000061769	Klra6	protein_coding	19	no ortholog in the table
ENSMUSG00000030651	Art2b	protein_coding	19	no ortholog in the table
ENSMUSG00000091523	AU040972	lncRNA	19	no ortholog in the table
ENSMUSG00000028715	Cyp4a14	protein_coding	19	no ortholog in the table
ENSMUSG00000086657	Stamos	lncRNA	19	no ortholog in the table
ENSMUSG00000045392	Or5m3b	protein_coding	19	ortholog(s) exist but none is in the other vocabulary
ENSMUSG00000033967	Rnf225	protein_coding	19	ortholog(s) exist but none is in the other vocabulary
ENSMUSG00000038462	Uqcrfs1	protein_coding	19	no ortholog in the table
ENSMUSG00000002384	Bmp8b	protein_coding	19	no ortholog in the table
ENSMUSG00000075330	A930003A15Rik	protein_coding	19	no ortholog in the table
ENSMUSG00000086763	Plxna4os1	lncRNA	19	no ortholog in the table
ENSMUSG00000086968	4933431E20Rik	lncRNA	19	no ortholog in the table
ENSMUSG00000038628	Polr3k	protein_coding	19	no ortholog in the table
ENSMUSG00000097006	9530082P21Rik	lncRNA	19	no ortholog in the table
ENSMUSG00000079451	Tmprss11g	protein_coding	19	no ortholog in the table
ENSMUSG00000055748	Gsdmc4	protein_coding	19	no ortholog in the table
ENSMUSG00000097113	Gm19705	lncRNA	19	no ortholog in the table
ENSMUSG00000086438	Asb17os	lncRNA	19	no ortholog in the table
ENSMUSG00000070985	Acnat1	protein_coding	19	no ortholog in the table
ENSMUSG00000057561	Eif1a	protein_coding	19	no ortholog in the table
ENSMUSG00000097080	1700086O06Rik	lncRNA	19	no ortholog in the table
ENSMUSG00000086191	Zfp652os	lncRNA	19	no ortholog in the table
ENSMUSG00000074006	Omp	protein_coding	19	ortholog(s) exist but none is in the other vocabulary
ENSMUSG00000096356	Or8b40	protein_coding	19	no ortholog in the table
ENSMUSG00000073374	C030034I22Rik	lncRNA	19	no ortholog in the table
ENSMUSG00000026405	C4bp	protein_coding	19	no ortholog in the table
ENSMUSG00000074649	Mmp24os1	protein_coding	19	no ortholog in the table
ENSMUSG00000098234	Snhg6	lncRNA	19	no ortholog in the table
ENSMUSG00000090386	Mir99ahg	lncRNA	19	no ortholog in the table
ENSMUSG00000102009	4933400F21Rik	lncRNA	19	no ortholog in the table
ENSMUSG00000079671	2610203C22Rik	lncRNA	19	no ortholog in the table
ENSMUSG00000087331	1810021B22Rik	lncRNA	19	no ortholog in the table
ENSMUSG00000068732	Tmem167b	protein_coding	19	no ortholog in the table
ENSMUSG00000078866	Zfp970	protein_coding	19	no ortholog in the table
ENSMUSG00000039321	Uts2r	protein_coding	19	no ortholog in the table
ENSMUSG00000086013	Gm15706	lncRNA	19	no ortholog in the table
ENSMUSG00000085912	Trp53cor1	lncRNA	19	no ortholog in the table
ENSMUSG00000076757	Trgc4	TR_C_gene	19	no ortholog in the table
MGI:1917970	6330407A03Rik	lncRNA	19	no Ensembl id (MGI/HGNC accession): not in the ortholog table
ENSMUSG00000034949	Zfr2	protein_coding	19	no ortholog in the table
ENSMUSG00000078161	Erich3	protein_coding	19	no ortholog in the table
ENSMUSG00000078157	Fem1al	protein_coding	19	no ortholog in the table
ENSMUSG00000098905	Zfp953	protein_coding	19	no ortholog in the table
ENSMUSG00000054727	1700013H16Rik	protein_coding	19	no ortholog in the table
ENSMUSG00000109628	BC024386	lncRNA	19	no ortholog in the table
ENSMUSG00000036551	Akap14	protein_coding	19	no ortholog in the table
ENSMUSG00000069814	Ccdc92b	protein_coding	19	ortholog(s) exist but none is in the other vocabulary
ENSMUSG00000027796	Smad9	protein_coding	19	no ortholog in the table
ENSMUSG00000010751	Tnfrsf22	protein_coding	19	no ortholog in the table
ENSMUSG00000054630	Ugt2b5	protein_coding	19	no ortholog in the table
ENSMUSG00000054753	AU018091	protein_coding	19	no ortholog in the table
ENSMUSG00000053347	Zfp943	protein_coding	19	no ortholog in the table
MGI:1913486	1500011B03Rik	protein_coding	19	no Ensembl id (MGI/HGNC accession): not in the ortholog table
ENSMUSG00000090137	Uba52	protein_coding	19	no ortholog in the table
ENSMUSG00000070547	Mrgprb1	protein_coding	19	no ortholog in the table
ENSMUSG00000070529	Wfdc10	protein_coding	19	no ortholog in the table
ENSMUSG00000097350	4732491K20Rik	lncRNA	19	no ortholog in the table
ENSMUSG00000097287	D130017N08Rik	lncRNA	19	no ortholog in the table
ENSMUSG00000097277	2900076A07Rik	lncRNA	19	no ortholog in the table
ENSMUSG00000074415	Mir100hg	lncRNA	19	no ortholog in the table
ENSMUSG00000067704	Wfdc13	protein_coding	19	no ortholog in the table
ENSMUSG00000085282	Gm15663	lncRNA	19	no ortholog in the table
MGI:3782439	Gm4262	lncRNA	19	no Ensembl id (MGI/HGNC accession): not in the ortholog table
ENSMUSG00000072763	Zfp1007	protein_coding	19	no ortholog in the table
ENSMUSG00000074283	Zfp109	protein_coding	19	no ortholog in the table
ENSMUSG00000079104	Prps1l3	protein_coding	19	no ortholog in the table
MGI:5009823	Gm17745	lncRNA	19	no Ensembl id (MGI/HGNC accession): not in the ortholog table
ENSMUSG00000060288	Ppih	protein_coding	19	no ortholog in the table
ENSMUSG00000100147	1700047M11Rik	lncRNA	19	no ortholog in the table
MGI:5580372	Gm29666	protein_coding	18	no Ensembl id (MGI/HGNC accession): not in the ortholog table
ENSMUSG00000103034	Gm8797	protein_coding	18	no ortholog in the table
ENSMUSG00000078495	Zfp984	protein_coding	18	no ortholog in the table
ENSMUSG00000074254	Cyp2a4	protein_coding	18	no ortholog in the table
ENSMUSG00000085382	Gm13861	lncRNA	18	no ortholog in the table
ENSMUSG00000099881	2810013P06Rik	lncRNA	18	no ortholog in the table
ENSMUSG00000062619	Pex39	protein_coding	18	no ortholog in the table
ENSMUSG00000031576	Kcnu1	protein_coding	18	no ortholog in the table
ENSMUSG00000043716	Rpl7	protein_coding	18	no ortholog in the table
ENSMUSG00000101355	H3c10	protein_coding	18	no ortholog in the table
ENSMUSG00000040139	9430038I01Rik	protein_coding	18	no ortholog in the table
ENSMUSG00000031967	Afg3l1	protein_coding	18	no ortholog in the table
ENSMUSG00000116673	A630089N07Rik	protein_coding	18	no ortholog in the table
ENSMUSG00000095071	Tcstv2a	protein_coding	18	no ortholog in the table
ENSMUSG00000055061	4931431C16Rik	lncRNA	18	no ortholog in the table
ENSMUSG00000050621	Rps27rt	protein_coding	18	no ortholog in the table
ENSMUSG00000044172	Ptx4	protein_coding	18	ortholog(s) exist but none is in the other vocabulary
ENSMUSG00000074136	4930513N10Rik	lncRNA	18	no ortholog in the table
ENSMUSG00000027777	Schip1	protein_coding	18	no ortholog in the table
ENSMUSG00000072999	Gm15401	lncRNA	18	no ortholog in the table
ENSMUSG00000085696	Hoxaas3	lncRNA	18	no ortholog in the table
ENSMUSG00000097316	Gm10516	lncRNA	18	no ortholog in the table
